,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,91,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4
1,Hotel Ugly,Shut up My Moms Calling,3hxIUxnT27p5WcmjGUXNwx,82,0.485,0.409,9,-10.711,0,0.101,0.325,0.0,0.103,0.376,138.419,164571,4
2,The Weeknd,Save Your Tears,5QO79kh1waicV47BqGRL3g,89,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627,4
3,Playboi Carti,Sky,29TPjc8wxfz4XMn21O7VsZ,83,0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,0.565,139.98,193234,4
4,$uicideboy$,"...And to Those I Love, Thanks for Sticking Around",30QR0ndUdiiMQMA9g1PGCm,82,0.792,0.511,2,-6.876,1,0.0409,0.124,9.04e-05,0.14,0.111,113.983,168490,4
5,Glass Animals,Heat Waves,3USxtqRwSYz57Ewm6wWRMp,84,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4
6,Taylor Swift,august,3hUxzQpSfdDqwM3ZTFQY0K,86,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,261923,4
7,SZA,Good Days,3YJJjQPAbDT7mGpX3WtQ9A,82,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,4
8,Conan Gray,Heather,4xqrdfXkTW4T0RauPLv3WA,87,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,198040,3
9,Elley Duhé,MIDDLE OF THE NIGHT,58HvfVOeJY7lUuCqF0m3ly,90,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,184448,3
10,Polo G,Martin & Gina,1VLtjHwRWOVJiE5Py7JxoQ,81,0.832,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.116,93.924,132833,4
11,King Von,Took Her To The O,7fEoXCZTZFosUFvFQg1BmW,79,0.82,0.592,1,-7.002,1,0.29,0.0149,4.71e-06,0.121,0.4,159.98,196180,4
12,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,81,0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972,194621,4
13,Luke Combs,Forever After All,6IBcOGPsniK3Pso1wHIhew,79,0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,232533,4
14,Eslabon Armado,Jugaste y Sufrí,3NqBxTOMCJ3zW9CIP51td4,81,0.39,0.499,7,-7.778,1,0.0381,0.632,0.000497,0.115,0.34,200.156,275194,1
15,Diplo,Heartless (feat. Morgan Wallen),3FU6urUVsgXa6RBuV2PdRk,77,0.765,0.556,11,-6.417,1,0.0512,0.275,0.0,0.0824,0.274,111.033,169227,4
16,Kali Uchis,telepatía,6tDDoYIxWvMLTdKpjFkc1B,83,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,160191,4
17,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,84,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,210800,4
18,21 Savage,Runnin,5SWnsxjhdcEDc7LJjq9UHk,79,0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,195906,4
19,Steve Lacy,Infrunami,0f8eRy9A0n6zXpKSHSCAEp,78,0.826,0.299,9,-7.721,1,0.0446,0.31,0.0952,0.0758,0.215,97.012,178328,4
20,Drake,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,83,0.735,0.449,10,-7.507,1,0.347,0.629,0.0,0.113,0.0397,122.947,220488,4
21,Lee Brice,Soul,3vCUelLOtiuNF78p9LNWZF,77,0.789,0.642,11,-8.304,1,0.0352,0.357,0.0,0.0985,0.755,121.003,167680,4
22,"Tyler, The Creator",BEST INTEREST,3jHdKaLCkuNEkWcLVmQPCX,79,0.596,0.575,11,-8.325,0,0.0514,0.0861,0.000153,0.334,0.34,98.265,127921,3
23,Giveon,Heartbreak Anniversary,3FAJ6O0NOHQV8Mc5Ri6ENp,84,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,198371,3
24,Chris Stapleton,You Should Probably Leave,2UikqkwBv7aIvlixeVXHWt,77,0.602,0.477,9,-8.425,1,0.032,0.268,3.1e-05,0.173,0.552,183.89,213493,4
25,THE ANXIETY,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,81,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680,4
26,Juice WRLD,Come & Go (with Marshmello),2Y0wPrPQBrGhoLn14xRYCG,81,0.625,0.814,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,144.991,205485,4
27,Coyote Theory,This Side of Paradise,79EkGysjP2dL5GdpeQjRxT,83,0.306,0.664,9,-6.07,1,0.0276,0.432,7.5e-06,0.135,0.321,158.283,242010,4
28,Lil Baby,On Me,4Iedi94TIaB2GGb1nMB68v,78,0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972,135960,4
29,Dua Lipa,Levitating (feat. DaBaby),5nujrmhLynf4yMoMtj8AQF,85,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4
30,Machine Gun Kelly,my ex's best friend (with blackbear),7kDUspsoYfLkWnZR7qwHZl,79,0.731,0.675,5,-5.134,0,0.0434,0.00473,0.0,0.141,0.298,124.939,139461,4
31,Brent Faiyaz,Clouded,2J6OF7CkpdQGSfm1wdclqn,77,0.583,0.344,2,-8.765,1,0.0559,0.774,0.0,0.143,0.581,65.203,110129,3
32,21 Savage,Glock In My Lap,6pcywuOeGGWeOQzdUyti6k,77,0.847,0.733,10,-6.439,0,0.16,0.00574,1.04e-05,0.151,0.202,130.029,193591,4
33,Jhay Cortez,CÓMO SE SIENTE - Remix,2tFwfmceQa1Y6nRPhYbEtC,83,0.807,0.606,3,-8.871,0,0.088,0.0946,0.0,0.119,0.304,92.988,227520,4
34,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,81,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,190476,4
35,Ariana Grande,positions,35mvY5S1H3J2QZyna3TFe0,85,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,172325,4
36,Drake,Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,80,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,261493,4
37,Tame Impala,One More Hour,0mO6oS60RST2sWmN2FKknP,80,0.647,0.398,4,-8.63,1,0.0283,0.108,0.107,0.148,0.32,102.029,432560,4
38,Bad Bunny,DÁKITI,47EiUVwUp4C9fGccaPuUCS,83,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,4
39,Tate McRae,you broke me first,45bE4HXI0AwGZXfZtMp8JR,83,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,169266,4
40,Don Toliver,After Party,527k23H0A4Q0UJN3vGs0Da,80,0.629,0.692,5,-8.045,1,0.0376,0.00981,0.331,0.603,0.453,162.948,167916,4
41,Bad Bunny,La Santa,69vlMrzHwATKzupwNcUPyK,84,0.744,0.868,1,-4.524,1,0.047,0.0326,0.0,0.0822,0.586,93.037,206420,4
42,Playboi Carti,ILoveUIHateU,1BpKJw4RZxaFB88NE5uxXf,77,0.684,0.693,4,-6.651,0,0.0339,0.00534,0.0,0.506,0.108,134.988,135122,4
43,Fujii Kaze,死ぬのがいいわ,0HYAsQwJIO6FLqpyTeD3l6,87,0.6,0.76,6,-6.123,0,0.0451,0.167,4.07e-05,0.189,0.519,158.075,185573,4
44,Noah Cyrus,July,6J2LdBN97cDWn0MLxYh9HB,80,0.708,0.186,9,-8.953,0,0.042,0.868,0.0,0.0779,0.322,72.541,156106,4
45,Cardi B,WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,81,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,187541,4
46,Pop Smoke,What You Know Bout Love,1tkg4EHVoqnhR6iFEXb60y,81,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000,4
47,Riovaz,Prom Night,7KhJdiu4zbPlhlImRLIyDl,76,0.813,0.608,7,-9.918,1,0.169,0.355,8.56e-06,0.0963,0.0512,149.251,145899,4
48,blackbear,hot girl bummer,6jRq8gaZhMUyy5RclRPcAf,81,0.782,0.559,6,-7.106,0,0.0767,0.125,0.0,0.385,0.685,129.992,188344,1
49,Lil Durk,3 Headed Goat (feat. Lil Baby & Polo G),6Tguhaf2uAe6OjRLsR2Tql,76,0.846,0.48,8,-8.618,0,0.359,0.269,0.0,0.0989,0.419,143.029,169532,4
50,Playboi Carti,Vamp Anthem,4CzhtKifG867Lu5DNQVBSA,78,0.642,0.69,11,-5.101,1,0.261,0.00599,1.3e-06,0.322,0.641,164.075,124094,4
51,Powfu,death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx,83,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,173333,4
52,Ozzy Osbourne,Crazy Train,7ACxUo21jtTHzy7ZEV56vU,78,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,293183,4
53,Bad Bunny,Si Veo a Tu Mamá,41wtwzCZkXwpnakmwJ239F,82,0.9,0.603,2,-5.313,1,0.0646,0.402,4.81e-06,0.134,0.824,129.928,170972,4
54,Pop Smoke,Element,57BGVV6wcyhbn3hsjlqEZB,80,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18e-06,0.251,0.305,61.311,135747,5
55,Sleep Miracle,Brown Sleep Noise,5UBonaClAZVfzxJNn8nnhh,79,0.0555,0.0837,1,-30.397,1,0.147,0.116,1.0,0.112,0.06,59.509,248000,4
56,Taylor Swift,cardigan,4R2kfaDFhslZEMJqAFNpdd,81,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560,4
57,21 Savage,Rich Nigga Shit (feat. Young Thug),3ruoIF2UnoXdzK8mR61ebq,77,0.825,0.733,1,-5.625,0,0.0969,0.349,0.0,0.112,0.62,97.974,190331,4
58,Conan Gray,Maniac,6KfoDhO4XUWSbnyKjNp9c4,81,0.628,0.639,8,-5.46,1,0.0435,0.00162,0.0,0.354,0.493,108.045,185773,4
59,HARDY,GIVE HEAVEN SOME HELL,2bVeUlOC5JjTpkQXuUUoYm,74,0.639,0.843,11,-4.975,1,0.0362,0.0525,0.0,0.0854,0.528,126.047,217802,4
60,Tame Impala,Borderline,5hM5arv9KDbCHS0k9uqwjr,79,0.621,0.873,5,-3.067,0,0.0369,0.0406,9.1e-06,0.0824,0.873,97.96,237800,4
61,Lil Tecca,Our Time,2WxUIiq06XXPYWl9YcRJnD,79,0.895,0.439,5,-12.142,0,0.319,0.199,0.0,0.0683,0.633,109.988,98413,4
62,Polo G,21,3JKgcAa7r07ocVWcV8bS0H,77,0.783,0.479,7,-10.646,1,0.541,0.149,0.0,0.101,0.533,176.027,163798,4
63,BTS,Dynamite,5QDLhrAOJJdNAmCTJ8xMyW,86,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,4
64,DaBaby,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,80,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,181733,4
65,Taylor Swift,exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,80,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,285634,4
66,Don Toliver,No Idea,7AzlLxHn24DxjgQX73F9fU,80,0.652,0.631,6,-5.718,0,0.0893,0.524,0.000579,0.165,0.35,127.998,154424,4
67,Beach Bunny,Cloud 9,6vFsBXYczYsP0H3lgunZOm,79,0.637,0.929,4,-3.593,1,0.0491,0.00167,2.62e-05,0.344,0.902,80.974,147351,4
68,The Weeknd,Heartless,6bnF93Rx87YqUBLSgjiMU8,79,0.537,0.746,10,-5.507,0,0.15,0.0236,1.01e-06,0.156,0.252,170.062,198267,4
69,The Strokes,The Adults Are Talking,5ruzrDWcT0vuJIOMW7gMnW,79,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,309053,4
70,Giveon,Like I Want You,6qBFSepqLCuh5tehehc1bd,77,0.678,0.355,10,-7.757,0,0.0627,0.759,7.06e-05,0.114,0.438,119.772,260776,3
71,Jack Harlow,WHATS POPPIN,1jaTQ3nqY3oAAYyCTbIvnM,77,0.923,0.604,11,-6.671,0,0.245,0.017,0.0,0.272,0.826,145.062,139741,4
72,Kane Brown,Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,76,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,191406,4
73,1nonly,Stay With Me,2WYs5LxOZfEyURXu7V0O1a,80,0.684,0.844,9,-7.649,1,0.335,0.302,0.0,0.374,0.335,126.677,141505,5
74,Drake,Time Flies,5H4mXWKcicuLKDn4Jy0sK7,77,0.864,0.477,10,-5.786,1,0.224,0.201,0.0,0.182,0.5,86.46,192932,4
75,Bad Bunny,Safaera,2DEZmgHKAvm41k4J3R2E9Y,80,0.607,0.829,2,-4.074,1,0.379,0.0103,0.0,0.107,0.685,96.172,295177,4
76,Gabby Barrett,The Good Ones,3hLuHKzG1cmlRpq53ZVWd8,74,0.519,0.552,2,-5.023,1,0.0259,0.18,0.0,0.149,0.331,89.957,215141,4
77,Taylor Swift,champagne problems,0sY6ZUTh4yoctD8VIXz339,78,0.462,0.24,0,-12.077,1,0.0377,0.92,0.0,0.113,0.32,171.319,244000,4
78,Luar La L,Caile,6i1g5ZRmJZAkDwBaUZ3f2i,91,0.704,0.756,0,-4.948,1,0.448,0.298,3.75e-06,0.0852,0.461,121.737,141340,3
79,Bad Bunny,Yo Perreo Sola,0SqqAgdovOE24BzxIClpjw,79,0.86,0.758,11,-5.16,1,0.0695,0.021,6.54e-05,0.344,0.453,97.014,172127,4
80,Gabby Barrett,I Hope,23T0OX7QOiIUFShSzbJ5Uo,74,0.466,0.536,6,-6.227,1,0.0429,0.0951,0.0,0.114,0.377,75.998,210773,4
81,Dua Lipa,Levitating,39LLxExYz6ewLAcYrzQQyP,84,0.695,0.884,6,-2.278,0,0.0753,0.0561,0.0,0.213,0.914,103.014,203808,4
82,Bad Bunny,LA NOCHE DE ANOCHE,2XIc1pqjXV3Cr2BQUGNBck,83,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,203201,4
83,Pop Smoke,Got It On Me,25zlnOAzbVoOzIeXSvQFf1,77,0.688,0.647,2,-7.258,1,0.19,0.00815,1.65e-05,0.095,0.195,88.834,164580,4
84,Juice WRLD,Conversations,4K06PO78fW4mnBVenxGNob,76,0.747,0.622,11,-5.825,1,0.0838,0.176,0.0,0.151,0.57,159.93,181661,4
85,Eyedress,Romantic Lover,7s5VQqrjBtrBgZL4pEa46S,77,0.658,0.447,9,-9.299,0,0.0869,0.701,0.924,0.198,0.538,184.316,86739,4
86,Lil Baby,We Paid (feat. 42 Dugg),6gxKUmycQX7uyMwJcweFjp,74,0.926,0.542,1,-5.064,1,0.293,0.135,0.0,0.0877,0.564,135.14,181929,4
87,Bad Bunny,TE MUDASTE,5RubKOuDoPn5Kj5TLVxSxY,81,0.811,0.637,10,-4.835,0,0.0591,0.234,0.000572,0.118,0.471,92.025,130014,4
88,Mac Miller,Blue World,2hwOoMtWPtTSSn6WHV7Vp5,76,0.742,0.553,8,-8.98,1,0.419,0.389,0.0,0.0694,0.508,84.931,209440,4
89,Big Sean,Wolves (feat. Post Malone),33gwZOGJWEZ7dRWPqPxBEZ,77,0.724,0.675,2,-5.267,1,0.0867,0.0978,9.41e-06,0.351,0.325,160.048,199758,4
90,Pop Smoke,Hello (feat. A Boogie Wit da Hoodie),2r6OAV3WsYtXuXjvJ1lIDi,78,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.367,130.97,190534,4
91,G Herbo,PTSD,1C8ux1YWLMHCenYJFiIV4Z,74,0.883,0.808,1,-3.158,0,0.182,0.0313,0.0,0.207,0.806,119.01,232065,4
92,Juice WRLD,Righteous,5dOxHHMOFAbG3VH23t0xNm,76,0.706,0.625,0,-7.426,1,0.0314,0.0417,0.0,0.129,0.225,142.948,242181,4
93,The Kid LAROI,WITHOUT YOU,27OeeYzk6klgBh83TSvGMA,80,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,161385,4
94,Wiz Khalifa,The Thrill,4wqzOaLxiCRy2Et8tRyNSX,77,0.817,0.775,10,-4.767,0,0.108,0.277,0.0,0.108,0.806,126.984,234334,4
95,Bad Bunny,La Difícil,6NfrH0ANGmgBXyxgV2PeXt,80,0.685,0.848,8,-4.561,0,0.0858,0.0861,7.14e-06,0.0783,0.761,179.87,163084,4
96,Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",2MbdDtCv5LUVjYy9RuGTgC,76,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,227478,4
97,The Weeknd,After Hours,2p8IUWQDrpjuFltbdgLOag,80,0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959,361027,4
98,Ariana Grande,34+35,6Im9k8u9iIzKMrmV7BWtlF,81,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,173711,4
99,Carly Pearce,I Hope You’re Happy Now,0Al3wN3keprGTSgG8NBwjr,72,0.591,0.815,10,-4.725,1,0.0366,0.168,8.68e-06,0.142,0.306,118.024,198689,4
100,Juice WRLD,Hate The Other Side (with Marshmello & The Kid Laroi),0ada5XsQGLPUVbmTCkAP49,76,0.701,0.65,6,-6.313,1,0.104,0.291,0.0,0.112,0.647,90.003,160212,4
101,Pop Smoke,Mood Swings (feat. Lil Tjay),5rZlwNFl01HqLWBQGryKSm,79,0.48,0.602,10,-6.335,0,0.368,0.487,0.0,0.0848,0.269,179.798,213333,4
102,Ariana Grande,motive (with Doja Cat),5GkQIP5mWPi4KZLLXeuFTT,79,0.789,0.742,10,-5.664,0,0.0652,0.0681,0.0,0.166,0.661,116.965,167990,4
103,$NOT,GOSHA,0j8ppsOOawdPCJnSTcXgOy,74,0.847,0.448,0,-10.14,1,0.416,0.81,1.35e-05,0.325,0.488,79.975,120000,4
104,Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",7hxHWCCAIIxFLCzvDgnQHX,78,0.8,0.658,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,195429,4
105,Dustin Lynch,Thinking 'Bout You (feat. Lauren Alaina),6NebrV4ZigAoXIRbe11hxh,72,0.394,0.747,8,-4.446,1,0.0627,0.13,0.0,0.0747,0.776,203.918,170560,4
106,Ritt Momney,Put Your Records On,6AGOKlMZWLCaEJGnaROtF9,77,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,210463,4
107,21 Savage,Mr. Right Now (feat. Drake),4Q34FP1AT7GEl9oLgNtiWj,73,0.647,0.667,5,-5.563,1,0.304,0.231,0.0,0.133,0.704,172.08,193839,4
108,Bee Gees,Stayin Alive,5ubvP9oKmxLUVq506fgLhk,80,0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,285373,4
109,Tory Lanez,Broke In A Minute,4xqIYGwwZTEem9U8A42SPF,74,0.929,0.7,0,-5.595,0,0.0906,0.144,0.0,0.349,0.802,120.009,132024,4
110,Carin Leon,La Boda Del Huitlacoche - Live,1Tcm4Qi0lbzXofH11MIzJs,81,0.684,0.882,9,-7.963,1,0.0761,0.517,9.81e-05,0.296,0.892,140.545,188417,3
111,Polo G,Flex (feat. Juice WRLD),2QqJTIlGKRLJC3onkavYEz,74,0.752,0.673,10,-5.792,0,0.153,0.0538,0.0,0.133,0.35,164.009,163902,4
112,Bruno Major,Nothing,2IAR0DziHCjSu16gR4ihvy,79,0.555,0.27,2,-15.892,1,0.0884,0.931,0.536,0.103,0.274,139.691,162797,3
113,Future,Drankin N Smokin,0k7wmahjkn389wAZdz19Cv,74,0.752,0.658,0,-6.297,1,0.342,0.0421,0.0,0.0927,0.387,151.951,213520,4
114,Ariana Grande,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,83,0.597,0.45,8,-6.658,1,0.0418,0.223,0.0,0.382,0.537,178.765,228482,3
115,Chris Brown,Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,78,0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,176960,4
116,Jack Harlow,I WANNA SEE SOME ASS (feat. jetsonmade),2aWVaW1p2kUc5yuKwBmRJi,75,0.899,0.691,0,-7.554,1,0.0497,0.18,0.000451,0.135,0.865,107.951,125302,4
117,Future,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,78,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,237735,4
